cod_cidade,cidade,uf,loggi,dits_caj,populucao,area,malha_aerea
5208004,Formosa (GO),GO,0,1085.000994,115800,5806.891,0
3539806,Poá (SP),SP,0,49.662,115484,17.179,0
2606804,Igarassu (PE),PE,0,2683.000019,115438,305.565,0
1600600,Santana (AP),AP,0,,115438,1577.517,0
4100400,Almirante Tamandaré (PR),PR,0,416.771,115376,195.145,0
2910727,Eunápolis (BA),BA,0,1522.000218,115312,1196.695,0
4302105,Bento Gonçalves (RS),RS,0,1025.000739,115102,277.303,0
3147907,Passos (MG),MG,0,390.285,114454,1339.199,0
1303403,Parintins (AM),AM,0,3556,113794,5952.333,0
3169901,Ubá (MG),MG,0,587.482,113331,407.699,0
2613701,São Lourenço da Mata (PE),PE,0,2660.00056,112108,264.346,0
3534708,Ourinhos (SP),SP,0,376.376,111806,296.203,0
2100055,Açailândia (MA),MA,0,2354.000283,111336,5806.307,0
3119401,Coronel Fabriciano (MG),MG,0,856.195,110313,221.049,0
5215231,Novo Gama (GO),GO,0,1014.000104,110110,191.675,0
4128104,Umuarama (PR),PR,0,812.895,110029,1232.799,0
5003207,Corumbá (MS),MS,0,1432.000106,109900,64960.863,1
3143906,Muriaé (MG),MG,0,632.464,108533,843.327,0
2510808,Patos (PB),PB,0,2636.000528,107788,512.791,0
4119509,Piraquara (PR),PR,0,399.762,107785,227.56,0
5220454,Senador Canedo (GO),GO,0,916.733,105535,244.745,0
4103701,Cambé (PR),PR,0,560.837,105344,494.692,0
2101202,Bacabal (MA),MA,0,2654.000953,103318,1682.601,0
3536505,Paulínia (SP),SP,0,125.783,102588,139.332,0
3302270,Japeri (RJ),RJ,0,389.527,101239,82.832,0
3526704,Leme (SP),SP,0,189.595,101186,403.077,0
2412005,São Gonçalo do Amarante (RN),RN,0,2954.000492,101169,251.308,0
1301902,Itacoatiara (AM),AM,0,4179,99838,8891.993,0
2600054,Abreu e Lima (PE),PE,0,2672.000458,99353,125.991,0
4309308,Guaíba (RS),RS,0,1157.000638,99322,376.973,0
3522109,Itanhaém (SP),SP,0,113.347,98646,599.017,0
